Language,Library Name,Status,Type,Key Strength,Bundle Size Impact,Timezone Support,Immutable,Best For,GitHub/Source,Notes
Java,java.time,Standard (built-in),Standard Library,Immutable; comprehensive; ISO 8601,None,Full IANA TZ support,Yes,All new Java projects,https://docs.oracle.com/javase/8/docs/api/java/time/package-summary.html,Baseline since Java 8
Java,Joda-Time,Legacy,Third-party,Mature; proven,Medium,Full TZ support,Yes,Legacy projects only,https://www.joda.org/joda-time/,Superseded by java.time
Java,ThreeTenBP,Backport,Third-party,java.time for old Java,Small,Full IANA TZ support,Yes,Java 6-7 legacy projects,https://github.com/ThreeTenBP/threetenbp,Not recommended; obsolete target
Go,time,Standard (built-in),Standard Library,Built-in TZ database; efficient,None,IANA TZ built-in,Yes,All Go applications,https://golang.org/pkg/time/,Reference time format: Mon Jan 2 15:04:05
Go,dateutil,Parsing utility,Third-party,Flexible date parsing,Minimal,Via parsing,Yes,User input parsing,https://pkg.go.dev/github.com/tebeka/go-dateutil,Niche use; rarely needed
Go,iso8601,Specialized parser,Third-party,Efficient; no regex,Minimal,Via parsing,Yes,Performance-critical parsing,https://github.com/relvacode/iso8601,Very specialized use case
Rust,Jiff,Emerging standard,Third-party,Safe DST arithmetic; full TZ,Small,Full geographical TZ info,Yes,New Rust projects,https://github.com/BurntSushi/jiff,Community consensus: new projects
Rust,chrono,Established standard,Third-party,Mature; comprehensive,Medium,Via chrono-tz crate,Yes,Existing projects; wide support,https://github.com/chronos-rs/chrono,May be superseded by jiff
Rust,time,Established crate,Third-party,Clean API; efficient,Small,Via offset only,Yes,Simple offset needs; no DST,https://github.com/time-rs/time,Cannot handle DST safely
Ruby,Time,Standard (built-in),Standard Library,Microsecond precision; efficient,None,Native TZ support,Yes,All modern Ruby projects,https://ruby-doc.org/core-2.6.8/Time.html,Recommended for all new code
Ruby,Date,Lightweight,Standard Library,Calendar dates only,None,No TZ support,Yes,Date-only fields,https://ruby-doc.org/stdlib-2.6.1/libdoc/date/rdoc/Date.html,Lower overhead than Time
Ruby,DateTime,Legacy,Standard Library,Fractional precision; wide range,None,TZ support available,Yes,Historical date calculations only,https://ruby-doc.org/stdlib-2.6.1/libdoc/date/rdoc/DateTime.html,Slower; not recommended
Ruby,ActiveSupport,Rails extension,Third-party,Chainable methods; readable,Small,TZ support,Yes,Rails applications,https://guides.rubyonrails.org/active_support_core_extensions.html,Makes date ops more intuitive
PHP,DateTime,Standard (built-in),Standard Library,Native PHP solution,None,TZ support available,No (mutable),Minimal projects only,https://www.php.net/manual/en/class.datetime.php,Unintuitive behavior; mutable
PHP,Carbon,Industry standard,Third-party,Developer-friendly; chainable,Small,Full timezone support,No (mutable),Web applications; Laravel,https://github.com/briannesbitt/carbon,Most popular PHP choice
PHP,Chronos,Modern alternative,Third-party,Immutable by default; no deps,Small,Full timezone support,Yes,Immutability-first projects,https://github.com/cakephp/chronos,Fixes PHP core inconsistencies
C#,DateTimeOffset,Recommended standard,Built-in,Stores UTC offset; safe,None,UTC offset support,Yes,Production applications,https://learn.microsoft.com/en-us/dotnet/api/system.datetimeoffset,Preferred over DateTime
C#,DateTime,Legacy standard,Built-in,Simple; fast,None,No TZ info stored,Yes,Simple scenarios only,https://learn.microsoft.com/en-us/dotnet/api/system.datetime,Does NOT store timezone
C#,TimeZoneInfo,Timezone helper,Built-in,IANA TZ database,None,Full IANA TZ support,Yes,Timezone conversions,https://learn.microsoft.com/en-us/dotnet/api/system.timezoneinfo,Works with DateTime/DateTimeOffset
C#,TimeSpan,Duration helper,Built-in,Time intervals; arithmetic,None,Not applicable,Yes,Elapsed time; timeouts,https://learn.microsoft.com/en-us/dotnet/api/system.timespan,Interval representation
C#,DateOnly,Modern type,Built-in (NET 6+),Date component only,None,No TZ,Yes,APIs; date-only fields,https://learn.microsoft.com/en-us/dotnet/api/system.dateonly,NET 6+ only
C#,TimeOnly,Modern type,Built-in (NET 6+),Time component only,None,No TZ,Yes,APIs; time-only fields,https://learn.microsoft.com/en-us/dotnet/api/system.timeonly,NET 6+ only
C#,NodaTime,Alternative library,Third-party,Advanced datetime logic,Small,Full IANA TZ support,Yes,Specialized complex scenarios,https://github.com/nodatime/nodatime,Reduced relevance since .NET 6
