Name,Category,Language,Backend,Type,Production Ready,Popularity,Notes
rust-task-queue,Language Library,Rust,Redis,Task Queue,Yes,Low,High-performance auto-scaling queue
lapin,Language Library,Rust,RabbitMQ,AMQP Client,Yes,Medium,Low-level AMQP client; custom implementations
redis-rs,Language Library,Rust,Redis,Redis Client,Yes,Medium,Redis client; custom queue implementations
Laravel Queue,Language Library,PHP,Redis/Database/SQS,Task Queue,Yes,Very High,Built-in framework; Horizon dashboard
Symfony Messenger,Language Library,PHP,AMQP/Doctrine/Redis,Message Bus,Yes,Very High,Message handling; production workers
Enqueue,Language Library,PHP,RabbitMQ/Redis/SQS,Message Bus,Yes,High,Framework-agnostic; multiple transports
Bernard,Language Library,PHP,Redis/AMQP,Task Queue,Yes,Medium,Multi-backend; deferred processing
Simple Job Queue,Language Library,PHP,Beanstalk/Database,Task Queue,Yes,Medium,Lightweight; simple backends
Pheanstalk,Language Library,PHP,Beanstalk,Task Queue Client,Yes,Medium,Beanstalk client; Supervisor integration
PHP AMQP,Language Library,PHP,RabbitMQ,AMQP Client,Yes,Medium,Popular RabbitMQ client
BunnyPHP,Language Library,PHP,RabbitMQ,AMQP Client,Yes,Low,Pure-PHP AMQP client; async with ReactPHP
PHP Queue,Language Library,PHP,Database/Redis,Task Queue,Yes,Low,Unified interface; REST server; CLI daemon
Thumper,Language Library,PHP,RabbitMQ,Message Bus,Yes,Low,RabbitMQ patterns for job queues
Hangfire,Language Library,C#/.NET,SQL Server/Redis,Task Queue,Yes,Very High,Versatile dashboard; automatic retries; cron
NServiceBus,Language Library,C#/.NET,RabbitMQ/MSMQ,Message Bus,Yes,High,Enterprise messaging; sagas; durability
MassTransit,Language Library,C#/.NET,RabbitMQ/Other,Message Bus,Yes,High,Distributed framework; robust messaging; sagas
Rebus,Language Library,C#/.NET,RabbitMQ/MSMQ,Message Bus,Yes,Medium,Service bus for reliable messaging
Oban,Language Library,Elixir,PostgreSQL,Task Queue,Yes,Very High,Database-backed; retries; scheduling; priorities
Exq,Language Library,Elixir,Redis,Task Queue,Yes,High,Sidekiq-compatible; exponential backoffs
Verk,Language Library,Elixir,Redis,Task Queue,Yes,Medium,Redis-based; Sidekiq format
Rihanna,Language Library,Elixir,PostgreSQL,Task Queue,Yes,Low,Advisory locks; PostgreSQL-backed
Que,Language Library,Elixir,Mnesia,Task Queue,Yes,Low,Built-in Erlang database; no external deps
Broadway,Language Library,Elixir,Kafka/SQS/External,Data Ingestion,Yes,Medium,Pipeline processing; parallel execution
JobQueue,Language Library,Elixir,GenStage/In-Memory,Task Queue,Yes,Low,Multi-step workflows; image processing pipelines
Faktory,Standalone Server,Multi-Language,Custom Protocol,Job Server,Yes,High,Language-agnostic; protocol-based; multiple queues
Temporal.io,Standalone Server,Multi-Language,Custom Storage,Workflow Engine,Yes,High,Durable workflows; multi-language SDKs
Gearman,Standalone Server,Multi-Language,Distributed,Job Server,Yes,Medium,Distributed job queue; clustering; high availability
Beanstalk,Standalone Server,Multi-Language,In-Memory,Job Queue,Yes,Medium,Simple; fast; language-independent
TacoQ,Standalone Server,Multi-Language,Custom,Job Queue,Yes,Low,Multi-language task routing
BullMQ Enterprise,Standalone Server,Multi-Language,Redis,Job Queue,Yes,Medium,Redis-based; high-availability; Lua scripting
RabbitMQ,Message Broker,Multi-Language,Custom,Message Broker,Yes,Very High,AMQP protocol; pub/sub; clustering; durability
Apache Kafka,Message Broker,Multi-Language,Distributed Log,Event Streaming,Yes,Very High,High-throughput; event streaming; replay; durability
Apache Pulsar,Message Broker,Multi-Language,Distributed Log,Event Streaming,Yes,High,Multi-tenancy; tiered storage; log-based
Apache ActiveMQ,Message Broker,Multi-Language,Custom,Message Broker,Yes,High,STOMP/AMQP/MQTT; multi-language
NATS JetStream,Message Broker,Multi-Language,Custom,Pub/Sub + Persistence,Yes,High,Lightweight; optional persistence; clustering
Redis Streams,Message Broker,Multi-Language,In-Memory,Stream Engine,Yes,High,In-memory; simple pub/sub; fast but ephemeral
AWS SQS,Cloud Service,Multi-Language,AWS,Message Queue,Yes,Very High,Fully managed; point-to-point; FIFO support
AWS SNS,Cloud Service,Multi-Language,AWS,Pub/Sub,Yes,Very High,Managed pub/sub; fan-out messaging
Azure Service Bus,Cloud Service,Multi-Language,Azure,Message Broker,Yes,Very High,Managed broker; queues + topics; enterprise
Azure Queue Storage,Cloud Service,Multi-Language,Azure,Message Queue,Yes,High,Simple managed queue; decoupling
Google Cloud Pub/Sub,Cloud Service,Multi-Language,Google Cloud,Pub/Sub,Yes,Very High,Managed pub/sub; scalable; integrations
Google Cloud Tasks,Cloud Service,Multi-Language,Google Cloud,Task Queue,Yes,High,Serverless task queuing; HTTP tasks; Cloud Run
Temporal Cloud,Cloud Service,Multi-Language,Temporal Inc.,Workflow Engine,Yes,Medium,Managed Temporal service; hosted
IBM MQ,Cloud Service,Multi-Language,IBM,Message Queue,Yes,High,Enterprise MQ; on-premises and cloud
Apache Airflow,Workflow Engine,Python,Database/Custom,Workflow Scheduler,Yes,Very High,Data pipeline orchestration; scheduling; Python-centric
Prefect,Workflow Engine,Python,Cloud/Custom,Workflow Orchestration,Yes,High,Modern data workflows; cloud-managed option
Dagster,Workflow Engine,Python,Custom,Data Orchestration,Yes,High,Asset-based; data pipelines; monitoring
Activiti,Workflow Engine,Java,Database,Process Engine,Yes,Medium,BPMN 2.0; business processes; async
Flowable,Workflow Engine,Java,Database,Process Engine,Yes,Medium,Advanced BPMN/CMMN/DMN; enhanced Activiti
Temporal (Java SDK),Workflow Engine,Java,Custom,Workflow Engine,Yes,High,Durable execution; retries; fault tolerance
JBatch (JSR 352),Workflow Engine,Java,Custom,Batch Processing,Yes,Medium,Standard batch API; job/joblet queuing
Kafka Streams,Workflow Engine,Java,Kafka,Stream Processing,Yes,High,Event-based processing; KStreams
