Name,Type,Provider,Category,License,Deployment,Key Features,Best For,Cost Model,Cloud Support,OSS,Notes
GitHub Advanced Security,Platform-native,GitHub,Secret Scanning,Proprietary,GitHub Only,"Native integration, community patterns, PR alerts, custom patterns (Enterprise)",GitHub users,Included / per-seat,GitHub,No,GitHub-only
Legit Security,Commercial,Legit,ASPM,Proprietary,Cloud,"AI/ML detection, reduced false positives, supply chain security",Enterprise,Custom pricing,Cloud,No,AI-powered reduction of noise
Aikido,Commercial,Aikido,ASPM,Proprietary,Cloud,"Multi-tool integration, SAST + secrets + SCA, centralized dashboard",Security teams,Custom pricing,Cloud,No,Unified platform
Snyk,Commercial,Snyk,Security Platform,Proprietary,Cloud,"Secret scanning, dependency scanning, IaC scanning, remediation",Development teams,Free / Enterprise,Cloud,No,Developer-first approach
Aqua Security,Commercial,Aqua,Container Security,Proprietary,Cloud,"Secrets in images, runtime threat protection, compliance, supply chain",Container teams,Custom pricing,Cloud,No,Container-native
Thycotic Secret Server,Commercial,Thycotic,PAM,Proprietary,On-premise,"On-premise option, privileged session management, MFA, AD integration",Enterprises,Custom pricing,Self-hosted,No,Focus on privileged access
LastPass Enterprise,Commercial,LastPass,Password Manager,Proprietary,Cloud,"Password sharing, team admin, SSO/SAML, federated access",Enterprise,Custom pricing,Cloud,No,Password management focus
BeyondTrust Password Safe,Commercial,BeyondTrust,PAM,Proprietary,Self-hosted,"Privileged access, session recording, MFA, compliance reporting",Enterprise PAM,Custom pricing,Self-hosted,No,Comprehensive PAM
direnv,Open-source,direnv,Env Tool,MIT,Self-hosted,"Project-specific env vars, automatic loading, shell-agnostic, integration",Development teams,Free,Self-hosted,Yes,Works with secret managers
python-dotenv,Open-source,Saurabh Kumar,Env Tool,MIT,Self-hosted,"Load .env files, type casting, interpolation, simple API",Python development,Free,Self-hosted,Yes,Python-specific
JFrog Artifactory,Commercial,JFrog,Artifact Mgmt,Proprietary,Cloud/Self,"Artifact storage, secret scanning in artifacts, supply chain security",DevOps teams,Custom pricing,Cloud/Self,No,Artifact-focused
Vault Operator,Open-source,HashiCorp,K8s Operator,Apache 2.0,Kubernetes,"Automates Vault deployment, HA setup, auto-unsealing options",Kubernetes + Vault,Free,Kubernetes,Yes,Kubernetes integration
Sumo Logic,Commercial,Sumo Logic,SIEM,Proprietary,Cloud,"Secret detection in logs, security monitoring, compliance reporting, audit trails",Enterprise SOC,Custom pricing,Cloud,No,SIEM integration
Splunk,Commercial,Splunk,SIEM,Proprietary,Cloud/Self,"Secret detection, security monitoring, compliance, audit analysis, alerting",Enterprise SOC,Custom pricing,Cloud/Self,No,Enterprise SIEM
Google Cloud IAM,Cloud Service,Google,Identity Management,Proprietary,GCP Only,"Service account management, identity federation, secret binding",GCP users,No additional cost,GCP,No,Native GCP integration
AWS Systems Manager Parameter Store,Cloud Service,Amazon,Config Management,Proprietary,AWS Only,"Parameter storage, version control, encryption, AWS integration",AWS teams,Per API call,AWS,No,Simpler than Secrets Manager
Nix Flakes,Open-source,NixOS,Env Management,MIT,Self-hosted,"Reproducible environments, declarative config, dependency management",Nix users,Free,Self-hosted,Yes,Complex but powerful
